
--forwards
71-12.xml : 84.78 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-13.xml : 86.39 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-14.xml : 85.22 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-15.xml : 88.80 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-16.xml : 85.93 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-17.xml : 86.73 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-18.xml : 88.52 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-19.xml : 88.91 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-2.xml : 88.96 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-20.xml : 91.18 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-21.xml : 92.65 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-22.xml : 97.38 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-23.xml : 92.37 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-24.xml : 93.17 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-25.xml : 92.33 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-26.xml : 91.84 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-27.xml : 94.23 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-28.xml : 92.78 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-29.xml : 94.06 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-3.xml : 341.66 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-30.xml : 98.34 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-31.xml : 95.39 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-32.xml : 98.39 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-33.xml : 96.61 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-34.xml : 97.55 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-35.xml : 98.26 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-36.xml : 99.99 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-37.xml : 100.07 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-38.xml : 103.53 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-39.xml : 109.75 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-4.xml : 109.81 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-40.xml : 14.40 seconds : {'success': 0, 'fail': 0, 'preexisting': 500}
71-41.xml : 13.44 seconds : {'success': 0, 'fail': 0, 'preexisting': 500}
71-42.xml : 13.54 seconds : {'success': 0, 'fail': 0, 'preexisting': 500}
71-43.xml : 13.99 seconds : {'success': 0, 'fail': 0, 'preexisting': 500}
71-44.xml : 114.82 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-45.xml : 117.84 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-46.xml : 105.71 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-47.xml : 100.18 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-48.xml : 96.95 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
::163

--backwards
sites.xml : 0.02 seconds : {'success': 0, 'fail': 0, 'preexisting': 1}
ose_wells.xml : 0.03 seconds : {'success': 0, 'fail': 0, 'preexisting': 1}
nmbgmr_wells.xml : 0.03 seconds : {'success': 0, 'fail': 0, 'preexisting': 1}
monitoring-locations.xml : 0.03 seconds : {'success': 0, 'fail': 0, 'preexisting': 1}
huc12pourpoints.xml : 0.03 seconds : {'success': 0, 'fail': 0, 'preexisting': 1}
hu10.xml : 0.03 seconds : {'success': 0, 'fail': 0, 'preexisting': 1}
hmw.xml : 0.03 seconds : {'success': 0, 'fail': 0, 'preexisting': 1}
gages.xml : 0.02 seconds : {'success': 0, 'fail': 0, 'preexisting': 1}
comid.xml : 0.02 seconds : {'success': 0, 'fail': 0, 'preexisting': 1}
chyld.xml : 37.62 seconds : {'success': 0, 'fail': 0, 'preexisting': 1502}
99-6.xml : 30.43 seconds : {'success': 432, 'fail': 0, 'preexisting': 0}
99-5.xml : 34.99 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
99-4.xml : 35.67 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
99-3.xml : 35.82 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
99-2.xml : 38.51 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
99-1.xml : 41.69 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
98-1.xml : 1.55 seconds : {'success': 19, 'fail': 0, 'preexisting': 0}
97-8.xml : 8.43 seconds : {'success': 101, 'fail': 0, 'preexisting': 0}
97-7.xml : 43.17 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
97-6.xml : 42.96 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
97-5.xml : 43.69 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
97-4.xml : 43.45 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
97-3.xml : 44.91 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
97-2.xml : 46.12 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
97-1.xml : 46.71 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
96-1.xml : 5.36 seconds : {'success': 56, 'fail': 0, 'preexisting': 0}
95-99.xml : 47.18 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-98.xml : 14.86 seconds : {'success': 0, 'fail': 0, 'preexisting': 500}
95-97.xml : 48.63 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-96.xml : 48.77 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-95.xml : 50.86 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-94.xml : 52.38 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-93.xml : 234.72 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-92.xml : 54.85 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-91.xml : 52.50 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-90.xml : 53.19 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-9.xml : 54.70 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-89.xml : 54.63 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-88.xml : 64.90 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-87.xml : 58.45 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-86.xml : 56.37 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-85.xml : 56.42 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-84.xml : 59.21 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-83.xml : 57.25 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-82.xml : 64.10 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-81.xml : 61.32 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-80.xml : 61.28 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-8.xml : 59.89 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-79.xml : 64.05 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-78.xml : 63.92 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-77.xml : 65.66 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-76.xml : 64.28 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-75.xml : 67.28 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-74.xml : 65.54 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-73.xml : 13.60 seconds : {'success': 0, 'fail': 0, 'preexisting': 500}
95-72.xml : 65.88 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-71.xml : 67.38 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-70.xml : 67.29 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-7.xml : 67.64 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-69.xml : 64.03 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-68.xml : 63.63 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-67.xml : 12.01 seconds : {'success': 0, 'fail': 0, 'preexisting': 500}
95-66.xml : 65.60 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-65.xml : 66.32 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-64.xml : 67.20 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-63.xml : 69.02 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-62.xml : 69.45 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-61.xml : 75.54 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-60.xml : 72.75 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-6.xml : 74.64 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-59.xml : 73.63 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-58.xml : 13.09 seconds : {'success': 0, 'fail': 0, 'preexisting': 500}
95-57.xml : 74.97 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-56.xml : 75.92 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-55.xml : 76.89 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-54.xml : 78.27 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-53.xml : 77.55 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-52.xml : 78.65 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-51.xml : 79.98 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-50.xml : 426.18 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-5.xml : 84.97 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-49.xml : 82.11 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-48.xml : 82.21 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-47.xml : 83.39 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-46.xml : 87.60 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-45.xml : 85.24 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-44.xml : 87.61 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-43.xml : 87.52 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-42.xml : 86.50 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-41.xml : 88.46 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-40.xml : 88.94 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-4.xml : 89.56 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-39.xml : 90.92 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-38.xml : 92.27 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-37.xml : 98.08 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-363.xml : 32.91 seconds : {'success': 175, 'fail': 0, 'preexisting': 1}
95-362.xml : 92.81 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-361.xml : 92.34 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-360.xml : 93.01 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-36.xml : 92.54 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-359.xml : 94.62 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-358.xml : 94.15 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-357.xml : 340.13 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-356.xml : 97.84 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-355.xml : 98.11 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-354.xml : 95.82 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-353.xml : 97.99 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-352.xml : 97.30 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-351.xml : 99.03 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-350.xml : 98.10 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-35.xml : 100.83 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-349.xml : 101.41 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-348.xml : 103.57 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-347.xml : 111.25 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-346.xml : 111.71 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-345.xml : 115.98 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-344.xml : 118.67 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-343.xml : 107.31 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-342.xml : 103.49 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-341.xml : 96.77 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
::119

--random
95-73.xml : 40.88 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
8-13.xml : 41.88 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-67.xml : 43.56 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-274.xml : 43.28 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
22-20.xml : 42.86 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
22-34.xml : 44.98 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-260.xml : 45.35 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-98.xml : 46.65 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-248.xml : 46.88 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
92-1.xml : 48.66 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
56-5.xml : 41.57 seconds : {'success': 427, 'fail': 0, 'preexisting': 0}
94-27.xml : 49.11 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
94-33.xml : 50.39 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-97.xml : 50.46 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-83.xml : 234.49 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-68.xml : 54.91 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-102.xml : 52.42 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
sites.xml : 0.03 seconds : {'success': 0, 'fail': 0, 'preexisting': 1}
95-116.xml : 53.51 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-103.xml : 54.78 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-54.xml : 54.80 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
9-1.xml : 3.99 seconds : {'success': 35, 'fail': 0, 'preexisting': 0}
71-40.xml : 64.32 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
