"","x"
"896","101301050305"
"897","101301050502"
"898","101301050504"
"899","101301050601"
"900","101301050602"
"901","101301050603"
"902","101301050604"
"903","101301021102"
"904","101301021105"
"905","101301020705"
"906","101301020804"
"907","101301021303"
"908","101301060306"
"909","101302050505"
"910","101302050506"
"911","101302051003"
"912","101302051004"
"913","101303010108"
"914","101303010306"
"915","101301030903"
"916","101301030904"
"917","100200010902"
"918","100800070307"
"919","100800070203"
"920","100800071105"
"921","100200010901"
"922","101302040408"
"923","031300130302"
"924","031401010302"
"925","030901010904"
"926","031001011004"
"927","101302040405"
"928","101302040406"
"929","101302040407"
"930","101302040501"
"931","101302040503"
"932","101302040504"
"933","101302040505"
"934","101302040506"
"935","101302040507"
"936","101302040601"
"937","101302040602"
"938","101302040603"
"939","101302040604"
"940","101302040605"
"941","101301031104"
"942","101301031405"
"943","101301031002"
"944","101301031101"
"945","101301031105"
"946","101301031503"
"947","101301031107"
"948","101301031301"
"949","101301031404"
"950","101301040101"
"951","101301040303"
"952","101301040304"
"953","101301040401"
"954","101301040501"
"955","101301060101"
"956","101303010503"
"957","101303030102"
"958","100200010908"
"959","101000011601"
"960","101000011602"
"961","101000012004"
"962","100200010903"
"963","100200010904"
"964","031402030802"
"965","031401010702"
"966","031401010704"
"967","031200030902"
"968","031200031203"
"969","100401030205"
"970","031001011102"
"971","031001011103"
"972","101301051105"
"973","101301050904"
"974","101301051103"
"975","101301051104"
"976","101301051301"
"977","101301051302"
"978","101301051303"
"979","101301050701"
"980","101301050704"
"981","101301050903"
"982","101301051304"
"983","101301051401"
"984","101301051402"
"985","101301051404"
"986","101301051406"
"987","101301051407"
"988","101303030402"
"989","101303020904"
"990","101303030109"
"991","101303030401"
"992","101303030107"
"993","101303020601"
"994","101303020604"
"995","101303020607"
"996","101303020701"
"997","101303020801"
"998","101303030502"
"999","101303030603"
"1000","101303030605"
"1001","101303030703"
"1002","101301060102"
"1003","101301060103"
"1004","101303050403"
"1005","101303050206"
"1006","101303050208"
"1007","101303050305"
"1008","101303050407"
"1009","101303050504"
"1010","101303050506"
"1011","101303050601"
"1012","101303050603"
"1013","101303050604"
"1014","101303050606"
"1015","101303050801"
"1016","101303050802"
"1017","101303050810"
"1018","101303050812"
"1019","101303060102"
"1020","101000012205"
"1021","101000041804"
"1022","101000041903"
"1023","101000050107"
"1024","101000012301"
"1025","100402050701"
"1026","031300110701"
"1027","031300110703"
"1028","100401050705"
"1029","100402050601"
"1030","100402050602"
"1031","100402050605"
"1032","100402050702"
"1033","100402050703"
"1034","100402050704"
"1035","100402050804"
"1036","101302050203"
"1037","101302050103"
"1038","101302050105"
"1039","101302050201"
"1040","101302040606"
"1041","101302040607"
"1042","101302040701"
"1043","101302040704"
"1044","101302050101"
"1045","101302050102"
"1046","101302050205"
"1047","101302050302"
"1048","101302050303"
"1049","101302050304"
"1050","101302050401"
"1051","101302050403"
"1052","101301060301"
"1053","101301060104"
"1054","101301060201"
"1055","101301060205"
"1056","101301060303"
"1057","101301060304"
"1058","101302010101"
"1059","101302010102"
"1060","101302010103"
"1061","101303030903"
"1062","101303030905"
"1063","101303030901"
"1064","101303031002"
